policy_id,customer_age,vehicle_age,annual_mileage,base_rate,current_premium,risk_segment,age_group
POL-001197,37,17,9800,965.72,1180.45,low,25-40
POL-001198,46,2,20700,905.48,1805.65,medium,>40
POL-001199,44,17,16400,856.09,1392.77,medium,>40
POL-001200,33,3,22600,856.07,1608.28,medium,25-40
POL-001201,40,5,10100,786.56,833.75,low,25-40
POL-001202,38,1,9300,954.83,1188.51,low,25-40
POL-001203,47,16,22500,978.25,1832.53,medium,>40
POL-001204,35,6,14300,817.1,1083.05,low,25-40
POL-001205,49,20,12300,818.26,1104.18,low,>40
POL-001206,35,13,18500,994.67,1722.71,medium,25-40
POL-001207,36,5,18200,1089.82,1778.62,medium,25-40
POL-001208,26,3,7700,952.5,1142.64,low,25-40
POL-001209,69,12,25200,913.42,1837.68,medium,>40
POL-001210,50,7,11200,1097.87,1087.8,low,>40
POL-001211,45,3,29000,983.34,2068.98,high,>40
POL-001212,63,7,7400,970.56,758.51,low,>40
POL-001213,65,1,15600,960.64,1721.43,medium,>40
POL-001214,71,8,12400,1076.76,1461.98,low,>40
POL-001215,46,10,5600,983.32,689.1,low,>40
POL-001216,22,2,18200,1097.39,3522.25,high,<25
POL-001217,40,14,5700,953.32,731.54,low,25-40
POL-001218,19,12,11800,924.68,2524.59,high,<25
POL-001219,56,8,22200,951.97,1471.49,medium,>40
POL-001220,34,3,10600,1126.96,1294.31,low,25-40
POL-001221,36,10,9000,1102.13,1103.94,low,25-40
POL-001222,25,5,19400,1120.66,2451.16,high,25-40
POL-001223,64,7,12100,941.07,1012.45,low,>40
POL-001224,65,11,11300,968.76,1157.19,low,>40
POL-001225,39,2,24000,1124.92,2593.12,high,25-40
POL-001226,22,1,8000,985.92,1854.66,medium,<25
POL-001227,68,4,11000,783.07,947.59,low,>40
POL-001228,38,20,19900,905.03,1753.14,medium,25-40
POL-001229,67,20,7800,920.41,997.65,low,>40
POL-001230,40,8,30000,913.76,1867.14,medium,25-40
POL-001231,67,13,12200,1122.9,1526.09,low,>40
POL-001232,66,6,20000,795.41,1348.66,medium,>40
POL-001233,44,7,20000,1065.8,1673.25,medium,>40
POL-001234,67,5,12600,929.35,1228.39,low,>40
POL-001235,27,14,10900,1121.03,1769.95,medium,25-40
POL-001236,41,18,13200,970.35,1370.92,medium,>40
POL-001237,63,7,18600,944.15,1343.27,medium,>40
POL-001238,48,7,8700,1171.82,1070.94,low,>40
POL-001239,32,6,7900,921.45,830.49,low,25-40
POL-001240,44,18,26300,821.15,1815.95,high,>40
POL-001241,46,12,9700,799.76,800.99,low,>40
POL-001242,35,3,15800,845.15,1258.18,medium,25-40
POL-001243,67,20,12300,920.34,1341.29,medium,>40
POL-001244,55,1,12600,993.85,1320.46,low,>40
POL-001245,50,17,25700,970.58,1945.3,medium,>40
POL-001246,22,13,13000,1126.37,2585.02,high,<25
POL-001247,29,7,11500,822.65,1216.8,medium,25-40
POL-001248,46,7,12000,808.72,910.92,low,>40
POL-001249,58,6,10800,904.5,875.26,low,>40
POL-001250,19,3,10000,1166.49,2948.39,high,<25
POL-001251,62,20,10800,978.02,1152.15,low,>40
POL-001252,18,7,28500,1079.1,5118.45,high,<25
POL-001253,24,3,18600,1077.67,2973.04,high,<25
POL-001254,53,19,11600,1098.51,1312.81,low,>40
POL-001255,41,9,21000,975.0,1613.29,medium,>40
POL-001256,30,9,6600,950.3,778.07,low,25-40
POL-001257,69,20,25100,832.65,1929.24,high,>40
POL-001258,43,10,24200,903.09,1638.61,medium,>40
POL-001259,61,4,30000,990.25,2023.44,medium,>40
POL-001260,38,10,21300,792.59,1389.79,medium,25-40
POL-001261,19,3,16400,932.8,3251.93,high,<25
POL-001262,33,5,24100,1170.08,2291.97,medium,25-40
POL-001263,41,8,10200,839.1,850.39,low,>40
POL-001264,21,12,11300,1121.24,2604.26,high,<25
POL-001265,32,4,13100,1160.65,1529.71,low,25-40
POL-001266,40,6,25000,908.32,1648.6,medium,25-40
POL-001267,62,6,9200,785.26,706.99,low,>40
POL-001268,54,14,8800,1081.38,1012.42,low,>40
POL-001269,22,7,15000,1093.63,2492.21,high,<25
POL-001270,43,20,18600,969.86,1712.39,medium,>40
POL-001271,27,5,9800,1123.63,1576.69,low,25-40
POL-001272,23,4,18300,813.94,2221.86,high,<25
POL-001273,51,16,25000,976.85,1802.85,medium,>40
POL-001274,46,10,23200,1099.52,1941.04,medium,>40
POL-001275,47,20,15800,910.62,1446.02,medium,>40
POL-001276,57,16,13000,1108.44,1337.35,low,>40
POL-001277,62,2,29500,975.31,2326.09,high,>40
POL-001278,24,7,13600,1117.1,2388.62,high,<25
POL-001279,44,8,20600,1173.44,1877.98,medium,>40
POL-001280,46,8,30000,849.2,1735.22,medium,>40
POL-001281,74,6,19700,1152.59,2114.35,medium,>40
POL-001282,62,8,8600,1150.6,991.49,low,>40
POL-001283,35,8,7700,957.71,848.9,low,25-40
POL-001284,30,4,11800,1164.93,1434.52,low,25-40
POL-001285,43,14,18600,827.37,1369.51,medium,>40
POL-001286,60,19,16500,809.55,1256.15,medium,>40
POL-001287,42,11,30000,795.06,1658.8,high,>40
POL-001288,29,9,16400,979.74,1863.62,medium,25-40
POL-001289,39,6,11700,809.43,941.69,low,25-40
POL-001290,64,8,8100,843.85,699.39,low,>40
POL-001291,20,9,23000,1174.1,4328.25,high,<25
POL-001292,27,3,13500,940.38,1624.98,medium,25-40
POL-001293,24,13,6900,1102.16,1675.78,medium,<25
POL-001294,27,5,13600,918.66,1595.08,medium,25-40
POL-001295,72,17,8600,817.98,1032.19,low,>40
POL-001296,38,7,11100,1137.25,1278.56,low,25-40
POL-001297,23,13,13500,932.21,2192.56,high,<25
POL-001298,71,11,9000,948.64,1067.84,low,>40
POL-001299,54,2,10800,1124.15,1351.18,low,>40
POL-001300,52,16,9700,801.57,799.49,low,>40
POL-001301,62,4,9800,904.73,893.37,low,>40
POL-001302,42,5,8600,922.98,881.27,low,>40
POL-001303,35,5,10900,844.86,988.08,low,25-40
POL-001304,43,2,9000,928.92,1077.98,low,>40
POL-001305,32,8,17600,903.81,1371.09,medium,25-40
POL-001306,20,14,14800,942.87,2825.03,high,<25
POL-001307,26,17,23100,967.33,2654.41,high,25-40
POL-001308,65,6,30000,973.98,2149.41,high,>40
POL-001309,42,7,18300,941.82,1395.65,medium,>40
POL-001310,39,11,16500,1128.05,1675.51,medium,25-40
POL-001311,37,6,18800,1147.5,1817.03,medium,25-40
POL-001312,45,15,16700,986.98,1523.2,medium,>40
POL-001313,38,6,13800,1135.67,1470.89,low,25-40
POL-001314,21,3,13300,1141.38,3038.41,high,<25
POL-001315,73,8,8500,787.09,836.08,low,>40
POL-001316,62,2,19700,813.48,1492.27,medium,>40
POL-001317,73,8,13300,851.89,1210.56,medium,>40
POL-001318,68,9,25900,792.18,1622.4,high,>40
POL-001319,64,4,20400,931.95,1482.07,medium,>40
POL-001320,75,9,10200,834.59,1019.08,low,>40
POL-001321,33,5,23700,1165.03,2257.39,medium,25-40
POL-001322,66,4,5000,908.11,658.24,low,>40
POL-001323,40,2,30000,850.38,2158.33,high,25-40
POL-001324,22,2,7400,1088.68,1946.77,medium,<25
POL-001325,33,18,16900,984.28,1714.53,medium,25-40
POL-001326,20,5,16400,851.92,2598.72,high,<25
POL-001327,35,9,22400,842.59,1526.62,medium,25-40
POL-001328,37,6,11600,990.26,1145.65,low,25-40
POL-001329,35,18,5100,993.81,794.56,low,25-40
POL-001330,73,4,11700,990.39,1363.02,low,>40
POL-001331,41,7,12200,1121.47,1276.84,low,>40
POL-001332,44,5,5400,946.55,667.87,low,>40
POL-001333,43,13,13800,1075.78,1466.65,low,>40
POL-001334,42,9,8300,923.03,835.37,low,>40
POL-001335,41,7,18100,964.47,1419.05,medium,>40
POL-001336,34,2,12100,789.44,1165.99,medium,25-40
POL-001337,71,20,30000,992.03,2819.98,high,>40
POL-001338,43,6,12000,924.07,1040.85,low,>40
POL-001339,44,3,16400,910.85,1323.09,medium,>40
POL-001340,35,2,12300,924.85,1380.62,medium,25-40
POL-001341,47,2,6500,907.15,852.02,low,>40
POL-001342,48,7,12300,918.28,1051.07,low,>40
POL-001343,37,13,18900,958.33,1683.01,medium,25-40
POL-001344,34,8,17700,929.97,1415.98,medium,25-40
POL-001345,48,2,11800,1153.73,1596.62,low,>40
POL-001346,46,7,7000,940.95,746.62,low,>40
POL-001347,23,16,18000,1143.96,3243.83,high,<25
POL-001348,33,5,16300,969.79,1473.27,medium,25-40
POL-001349,51,8,19700,915.4,1309.24,medium,>40
POL-001350,47,5,11900,1070.34,1262.18,low,>40
POL-001351,20,10,6300,1158.3,1840.25,medium,<25
POL-001352,36,3,17200,1142.5,1797.35,medium,25-40
POL-001353,47,0,13400,1083.6,1628.78,medium,>40
POL-001354,48,2,25300,967.1,2197.23,high,>40
POL-001355,61,5,13700,1100.9,1351.55,low,>40
POL-001356,32,6,13200,1070.36,1346.82,low,25-40
POL-001357,18,5,16300,1089.62,3783.57,high,<25
POL-001358,19,5,10300,1148.65,2959.62,high,<25
POL-001359,38,13,10100,939.62,1098.08,low,25-40
POL-001360,18,3,12900,954.26,2846.13,high,<25
POL-001361,48,7,8900,915.47,849.11,low,>40
POL-001362,38,2,12200,911.3,1353.19,medium,25-40
POL-001363,64,11,30000,925.23,1833.86,medium,>40
POL-001364,36,8,21600,947.39,1641.84,medium,25-40
POL-001365,58,20,15500,982.96,1418.24,medium,>40
POL-001366,74,3,27100,975.02,2316.43,high,>40
POL-001367,44,19,9300,917.71,1032.6,low,>40
POL-001368,24,3,30000,784.86,2954.28,high,<25
POL-001369,65,5,11000,797.49,965.04,low,>40
POL-001370,41,2,30000,983.47,2496.12,high,>40
POL-001371,71,20,30000,951.51,2704.8,high,>40
POL-001372,63,9,6100,845.17,594.84,low,>40
POL-001373,32,9,26100,937.61,1876.26,medium,25-40
POL-001374,46,3,11900,958.59,1130.4,low,>40
POL-001375,30,1,10500,827.77,1114.93,low,25-40
POL-001376,55,5,17100,830.39,1140.28,low,>40
POL-001377,42,4,8600,947.16,904.36,low,>40
POL-001378,19,1,16900,1090.79,4575.66,high,<25
POL-001379,61,5,8800,1111.99,1023.84,low,>40
POL-001380,44,7,14600,858.93,1099.02,low,>40
POL-001381,18,9,24600,928.35,4085.97,high,<25
POL-001382,24,1,16100,838.44,2484.97,high,<25
POL-001383,42,2,11500,992.25,1350.36,low,>40
POL-001384,29,3,17200,825.43,1669.55,medium,25-40
POL-001385,65,14,7200,819.13,790.18,low,>40
POL-001386,73,14,9300,913.98,1137.67,low,>40
POL-001387,39,9,11100,974.06,1118.15,low,25-40
POL-001388,30,5,19200,989.09,1671.34,medium,25-40
POL-001389,21,14,16200,1173.84,3729.88,high,<25
POL-001390,39,8,17200,1086.59,1623.92,medium,25-40
POL-001391,52,14,13300,989.91,1212.19,low,>40
POL-001392,20,9,9500,937.68,1945.62,high,<25
POL-001393,38,1,26400,961.32,2357.63,high,25-40
POL-001394,18,1,9900,797.34,2362.61,high,<25
POL-001395,33,5,16300,799.37,1214.37,medium,25-40
POL-001396,46,12,12800,961.3,1152.95,low,>40
POL-001397,70,4,17400,818.76,1458.44,medium,>40
POL-001398,34,16,10300,858.08,1015.65,low,25-40
POL-001399,63,11,21700,927.62,1489.56,medium,>40
POL-001400,70,15,25100,1162.34,2758.58,high,>40
POL-001401,30,5,21100,816.76,1467.44,medium,25-40
POL-001402,27,3,14500,1079.07,1953.28,medium,25-40
POL-001403,27,3,11100,1090.78,1659.68,medium,25-40
POL-001404,22,9,30000,974.29,3557.29,high,<25
POL-001405,23,1,8600,1156.58,2280.41,medium,<25
POL-001406,38,2,20100,782.24,1606.87,high,25-40
POL-001407,22,4,15700,1109.92,2742.57,high,<25
POL-001408,73,8,13100,819.52,1153.15,medium,>40
POL-001409,43,3,14700,960.93,1299.99,low,>40
POL-001410,22,14,10700,1136.87,2298.96,medium,<25
POL-001411,47,15,16400,981.4,1496.85,medium,>40
POL-001412,36,0,15600,801.42,1396.23,medium,25-40
POL-001413,43,9,30000,1076.54,2246.07,high,>40
POL-001414,32,4,21900,1084.89,1996.9,medium,25-40
POL-001415,40,12,17000,991.5,1430.04,medium,25-40
POL-001416,37,9,17500,823.83,1271.35,medium,25-40
POL-001417,67,7,30000,796.97,1758.78,high,>40
POL-001418,42,6,8700,1152.02,1052.84,low,>40
POL-001419,38,2,12400,827.13,1241.26,medium,25-40
POL-001420,43,20,5700,937.4,767.28,low,>40
POL-001421,45,2,17400,780.5,1390.29,medium,>40
POL-001422,68,19,19800,843.19,1674.53,medium,>40
POL-001423,73,10,8600,970.66,1060.81,low,>40
POL-001424,33,4,25800,927.4,1898.9,high,25-40
POL-001425,63,4,9800,800.78,790.73,low,>40
POL-001426,35,1,11600,801.26,1151.42,medium,25-40
POL-001427,21,7,14200,833.97,2200.77,high,<25
POL-001428,25,1,27700,803.12,2612.77,high,25-40
POL-001429,42,14,9200,804.45,842.64,low,>40
POL-001430,33,8,15400,938.28,1305.05,low,25-40
POL-001431,47,6,19100,859.38,1309.4,medium,>40
POL-001432,41,7,17400,946.21,1356.94,medium,>40
POL-001433,46,8,17700,938.35,1360.71,medium,>40
POL-001434,50,5,19000,947.15,1392.8,medium,>40
POL-001435,40,6,10500,970.82,1002.6,low,25-40
POL-001436,27,20,28900,1162.97,3691.45,high,25-40
POL-001437,24,13,12800,996.63,2264.34,high,<25
POL-001438,73,10,12100,818.86,1117.29,low,>40
POL-001439,41,4,24800,816.73,1552.26,medium,>40
POL-001440,60,1,10200,806.09,963.99,low,>40
POL-001441,44,9,15600,1151.26,1570.25,low,>40
POL-001442,37,7,9800,964.78,1000.3,low,25-40
POL-001443,66,5,30000,937.02,2176.68,high,>40
POL-001444,64,6,30000,1122.08,2178.18,medium,>40
POL-001445,70,2,12800,1087.05,1871.51,medium,>40
POL-001446,64,3,17100,968.43,1373.2,medium,>40
POL-001447,21,13,13500,1092.24,3082.74,high,<25
POL-001448,67,1,11500,935.71,1375.29,medium,>40
POL-001449,41,12,14200,784.59,1006.69,low,>40
POL-001450,41,17,13300,923.39,1310.99,medium,>40
POL-001451,37,9,6800,1085.83,906.46,low,25-40
POL-001452,24,9,15200,1146.35,2690.41,high,<25
POL-001453,44,3,13200,968.47,1221.67,low,>40
POL-001454,37,3,15500,1124.27,1652.98,medium,25-40
POL-001455,31,5,13000,939.27,1231.79,low,25-40
POL-001456,36,2,11500,986.99,1410.36,medium,25-40
POL-001457,36,3,20000,986.49,1711.77,medium,25-40
POL-001458,31,7,17200,828.43,1238.1,medium,25-40
POL-001459,44,4,25300,965.01,1858.03,medium,>40
POL-001460,43,7,16900,1153.2,1622.74,medium,>40
POL-001461,39,13,12400,1144.95,1528.91,low,25-40
POL-001462,31,7,17800,923.87,1411.85,medium,25-40
POL-001463,39,9,5500,820.28,596.56,low,25-40
POL-001464,65,1,30000,791.45,2169.46,high,>40
POL-001465,45,13,15300,1154.65,1683.38,medium,>40
POL-001466,39,1,30000,964.59,2570.61,high,25-40
POL-001467,31,4,9100,995.51,1035.39,low,25-40
POL-001468,49,2,8200,790.19,863.15,low,>40
POL-001469,19,1,15900,820.83,3309.39,high,<25
POL-001470,64,7,15900,1145.09,1471.26,low,>40
POL-001471,37,10,15700,984.9,1416.38,medium,25-40
POL-001472,69,17,14700,848.98,1389.28,medium,>40
POL-001473,34,8,10200,795.56,846.58,low,25-40
POL-001474,52,3,6900,859.55,654.34,low,>40
POL-001475,24,4,15300,859.47,2088.39,high,<25
POL-001476,37,1,7600,858.46,937.16,low,25-40
POL-001477,42,5,7300,960.79,824.67,low,>40
POL-001478,22,6,11400,981.53,1871.31,medium,<25
POL-001479,42,9,16400,909.72,1281.8,medium,>40
POL-001480,26,11,30000,926.77,2610.35,high,25-40
POL-001481,75,9,21000,786.54,1535.71,medium,>40
POL-001482,32,3,25700,950.53,1941.35,medium,25-40
POL-001483,68,2,18100,1172.05,2313.32,medium,>40
POL-001484,28,11,15900,964.17,1797.46,medium,25-40
POL-001485,21,1,30000,1115.66,5946.41,high,<25
POL-001486,34,20,7400,977.82,995.77,low,25-40
POL-001487,64,3,11200,824.13,887.57,low,>40
POL-001488,48,14,11600,816.53,994.38,low,>40
POL-001489,21,4,20200,1134.48,3962.67,high,<25
POL-001490,20,10,8700,951.12,1863.83,medium,<25
POL-001491,44,2,19000,1135.85,2142.33,medium,>40
POL-001492,40,7,17500,844.82,1216.06,medium,25-40
POL-001493,20,1,19500,1115.79,4494.69,high,<25
POL-001494,24,8,19300,813.03,2182.6,high,<25
POL-001495,39,2,27000,824.81,2052.6,high,25-40
POL-001496,34,3,13200,988.45,1309.21,low,25-40
POL-001497,41,5,17100,813.68,1214.49,medium,>40
POL-001498,65,5,9700,983.04,1096.2,low,>40
POL-001499,44,9,8700,961.13,896.88,low,>40
POL-001500,71,9,29900,903.68,2219.97,high,>40
POL-001501,36,7,9400,947.74,956.38,low,25-40
POL-001502,44,12,18000,796.26,1191.92,medium,>40
POL-001503,35,8,17100,791.33,1178.18,medium,25-40
POL-001504,30,9,22900,924.77,1699.73,medium,25-40
POL-001505,58,3,6400,837.42,607.07,low,>40
POL-001506,68,13,20200,830.45,1566.38,medium,>40
POL-001507,42,12,13200,953.5,1166.7,low,>40
POL-001508,38,7,10300,949.55,1016.88,low,25-40
POL-001509,31,11,12100,939.47,1140.64,low,25-40
POL-001510,19,6,21500,851.7,3363.56,high,<25
POL-001511,52,17,18800,855.46,1399.27,medium,>40
POL-001512,43,7,12700,975.12,1139.59,low,>40
POL-001513,26,6,8100,929.88,1095.2,low,25-40
POL-001514,71,9,8300,989.32,1056.54,low,>40
POL-001515,18,20,18900,980.32,4197.5,high,<25
POL-001516,43,4,7600,789.17,695.33,low,>40
POL-001517,43,8,12800,1102.27,1294.77,low,>40
POL-001518,61,4,30000,933.62,1907.72,medium,>40
POL-001519,57,6,16600,838.86,1073.41,low,>40
POL-001520,46,3,18900,1122.68,1788.34,medium,>40
POL-001521,44,9,8400,927.85,846.3,low,>40
POL-001522,44,6,7800,1089.85,927.78,low,>40
POL-001523,63,11,19300,1115.24,1659.47,medium,>40
POL-001524,19,13,11900,1138.59,3383.5,high,<25
POL-001525,22,15,22900,950.83,3152.94,high,<25
POL-001526,37,4,14400,927.3,1299.69,low,25-40
POL-001527,73,9,30000,829.84,2043.01,high,>40
POL-001528,62,15,10900,997.4,1108.16,low,>40
POL-001529,50,3,16100,1083.79,1431.08,low,>40
POL-001530,19,7,9400,822.33,1896.74,high,<25
POL-001531,47,3,22500,1106.07,1973.31,medium,>40
POL-001532,53,20,17200,923.25,1425.32,medium,>40
POL-001533,44,15,9200,850.79,891.18,low,>40
POL-001534,47,10,12200,1171.27,1361.62,low,>40
POL-001535,49,9,26200,935.77,1787.84,medium,>40
POL-001536,23,4,24800,935.49,3111.46,high,<25
POL-001537,26,16,7500,911.22,1128.31,low,25-40
POL-001538,49,5,11500,829.66,956.86,low,>40
POL-001539,60,4,30000,781.18,1596.23,medium,>40
POL-001540,23,14,13100,1119.58,2582.27,high,<25
POL-001541,53,5,15300,1081.12,1381.03,low,>40
POL-001542,37,4,22400,966.37,1805.04,medium,25-40
POL-001543,42,12,7800,1168.04,1015.28,low,>40
POL-001544,40,2,9300,1073.94,1273.12,low,25-40
POL-001545,35,10,12200,842.77,1028.72,low,25-40
POL-001546,73,7,24300,981.4,2063.43,high,>40
POL-001547,51,11,22300,919.24,1455.06,medium,>40
POL-001548,39,9,19500,990.15,1639.37,medium,25-40
POL-001549,27,20,13300,961.49,1842.86,medium,25-40
POL-001550,75,8,23500,953.32,1961.24,high,>40
POL-001551,46,5,13200,1139.2,1437.03,low,>40
POL-001552,41,7,18300,1096.27,1624.53,medium,>40
POL-001553,60,9,21300,904.91,1435.62,medium,>40
POL-001554,57,19,30000,944.49,2093.27,high,>40
POL-001555,56,10,13800,973.12,1127.56,low,>40
POL-001556,43,3,12000,1166.89,1383.54,low,>40
POL-001557,43,20,25300,943.36,2034.31,high,>40
POL-001558,39,13,26200,1093.53,2374.64,high,25-40
POL-001559,29,3,11100,1078.71,1641.31,medium,25-40
POL-001560,43,3,8600,991.37,946.57,low,>40
POL-001561,71,2,24400,1089.87,2853.88,high,>40
POL-001562,40,6,6700,989.05,762.75,low,25-40
POL-001563,18,6,6600,919.96,1686.17,medium,<25
POL-001564,41,4,12500,780.49,950.28,low,>40
POL-001565,42,2,14100,923.8,1435.31,medium,>40
POL-001566,37,3,8400,819.41,809.03,low,25-40
POL-001567,46,10,14900,807.59,1069.12,low,>40
POL-001568,40,5,15200,988.73,1367.0,low,25-40
POL-001569,43,3,10900,823.7,917.46,low,>40
POL-001570,55,7,30000,913.69,1717.64,medium,>40
POL-001571,62,8,16400,961.91,1261.02,low,>40
POL-001572,51,9,22400,810.89,1287.29,medium,>40
POL-001573,59,7,7000,967.0,705.9,low,>40
POL-001574,29,6,7000,977.19,1046.75,low,25-40
POL-001575,71,14,16600,1174.38,2130.31,medium,>40
POL-001576,28,3,30000,957.28,2779.68,high,25-40
POL-001577,36,6,8600,1105.08,1052.5,low,25-40
POL-001578,22,1,14400,1112.56,3066.71,high,<25
POL-001579,40,5,7700,1109.09,985.55,low,25-40
POL-001580,22,7,9800,945.3,1633.51,medium,<25
POL-001581,67,11,14700,905.36,1283.12,medium,>40
POL-001582,20,1,10800,799.28,2192.9,high,<25
POL-001583,18,7,7500,996.34,1984.38,medium,<25
POL-001584,20,20,7400,990.66,2017.7,medium,<25
POL-001585,21,9,5800,1069.41,1610.11,medium,<25
POL-001586,64,2,16700,859.33,1415.87,medium,>40
POL-001587,25,5,17700,977.74,2014.8,high,25-40
POL-001588,44,9,17600,902.76,1331.74,medium,>40
POL-001589,48,4,9000,989.28,972.9,low,>40
POL-001590,41,8,21200,993.74,1620.35,medium,>40
POL-001591,33,8,18600,962.23,1513.1,medium,25-40
POL-001592,20,6,13500,977.39,2495.86,high,<25
POL-001593,34,2,12600,934.09,1416.43,medium,25-40
POL-001594,54,4,10100,956.87,933.13,low,>40
POL-001595,44,20,14700,1145.93,1736.3,medium,>40
POL-001596,35,5,28000,955.82,2064.01,high,25-40
POL-001597,42,5,22500,931.44,1661.75,medium,>40
POL-001598,62,5,12000,964.17,1086.02,low,>40
POL-001599,46,11,17200,1157.9,1682.79,medium,>40
POL-001600,49,5,8200,847.55,784.58,low,>40
POL-001601,33,6,18800,915.06,1448.97,medium,25-40
POL-001602,69,7,9300,815.52,840.6,low,>40
POL-001603,43,12,18400,1068.34,1622.21,medium,>40
POL-001604,33,6,30000,830.89,1782.7,high,25-40
POL-001605,70,7,10400,925.51,1120.86,low,>40
POL-001606,31,4,30000,990.88,2237.86,high,25-40
POL-001607,50,8,16800,1133.24,1461.43,low,>40
POL-001608,65,10,9600,1108.87,1191.37,low,>40
POL-001609,50,10,9400,971.99,877.5,low,>40
POL-001610,23,20,30000,1087.23,4583.52,high,<25
POL-001611,34,3,16900,911.19,1417.16,medium,25-40
POL-001612,33,7,10500,1073.79,1164.39,low,25-40
POL-001613,36,5,12300,957.87,1211.79,low,25-40
POL-001614,30,18,16400,851.89,1455.23,medium,25-40
POL-001615,38,10,13400,1088.95,1412.8,low,25-40
POL-001616,28,2,15800,841.32,1900.19,high,25-40
POL-001617,46,4,30000,1068.21,2297.62,high,>40
POL-001618,23,5,8100,936.07,1504.37,medium,<25
POL-001619,35,2,18000,964.6,1844.33,medium,25-40
POL-001620,33,7,13100,1156.54,1448.08,low,25-40
POL-001621,72,4,10800,992.1,1296.15,low,>40
POL-001622,26,20,21900,1134.85,3007.96,high,25-40
POL-001623,21,8,7000,946.45,1577.06,medium,<25
POL-001624,24,5,5000,908.26,1066.77,low,<25
POL-001625,70,3,14900,801.6,1290.93,medium,>40
POL-001626,44,6,12700,990.2,1157.21,low,>40
POL-001627,55,17,7300,957.88,847.17,low,>40
POL-001628,68,5,6300,807.1,679.85,low,>40
POL-001629,66,6,30000,926.14,2043.84,high,>40
POL-001630,37,13,16600,1076.73,1738.0,medium,25-40
POL-001631,68,8,13600,1148.18,1515.13,low,>40
POL-001632,22,11,30000,941.68,3438.23,high,<25
POL-001633,33,8,21400,1168.89,2013.49,medium,25-40
POL-001634,33,8,29900,945.67,2024.57,high,25-40
POL-001635,20,1,7900,980.25,2194.77,high,<25
POL-001636,30,3,7800,914.87,860.8,low,25-40
POL-001637,63,7,17800,1080.9,1494.51,low,>40
POL-001638,44,3,16300,928.46,1343.32,medium,>40
POL-001639,34,6,23700,794.68,1462.8,medium,25-40
POL-001640,62,2,6500,1173.39,1046.97,low,>40
POL-001641,50,13,18500,979.27,1486.05,medium,>40
POL-001642,37,3,21100,1103.02,1981.75,medium,25-40
POL-001643,62,3,20600,951.88,1523.39,medium,>40
POL-001644,52,2,11200,953.16,1173.06,low,>40
POL-001645,66,10,17000,828.79,1291.0,medium,>40
POL-001646,72,6,9500,912.34,1041.78,low,>40
POL-001647,30,13,11800,807.62,1044.24,low,25-40
POL-001648,54,4,8400,786.05,680.01,low,>40
POL-001649,70,2,9600,1166.94,1666.41,medium,>40
POL-001650,32,6,12100,812.08,965.64,low,25-40
POL-001651,22,15,10800,838.62,1706.13,medium,<25
POL-001652,34,1,9600,989.98,1257.96,low,25-40
POL-001653,52,8,7500,1098.66,838.8,low,>40
POL-001654,74,8,30000,1073.84,2589.21,high,>40
POL-001655,42,16,10800,806.57,937.67,low,>40
POL-001656,43,3,15700,966.24,1364.31,medium,>40
POL-001657,68,1,6100,949.98,924.65,low,>40
POL-001658,38,4,24900,909.62,1820.0,medium,25-40
POL-001659,42,11,14600,784.76,1025.25,low,>40
POL-001660,36,6,11100,968.96,1089.36,low,25-40
POL-001661,19,9,11100,1146.49,3008.2,high,<25
POL-001662,74,3,20000,787.98,1536.6,medium,>40
POL-001663,69,5,5000,978.0,708.9,low,>40
POL-001664,64,7,9300,807.34,732.0,low,>40
POL-001665,35,2,12800,1071.64,1641.72,medium,25-40
POL-001666,38,7,12700,934.22,1146.38,low,25-40
POL-001667,33,5,30000,971.9,2194.99,high,25-40
POL-001668,42,20,11600,1137.45,1477.55,low,>40
POL-001669,52,6,21100,818.48,1224.04,medium,>40
POL-001670,48,17,30000,929.07,2238.15,high,>40
POL-001671,21,9,18300,942.2,2993.78,high,<25
POL-001672,25,6,10000,1106.74,1494.84,low,25-40
POL-001673,70,15,7600,1107.68,1209.23,low,>40
POL-001674,61,2,18900,949.02,1694.63,medium,>40
POL-001675,40,4,28300,1114.99,2309.01,high,25-40
POL-001676,34,11,17300,787.4,1206.09,medium,25-40
POL-001677,65,1,23500,802.79,1877.56,high,>40
POL-001678,73,6,30000,789.59,1903.83,high,>40
POL-001679,51,6,19700,1131.43,1618.21,medium,>40
POL-001680,44,7,8200,942.67,829.0,low,>40
POL-001681,72,5,13800,966.33,1480.55,medium,>40
POL-001682,51,11,25000,910.82,1552.91,medium,>40
POL-001683,32,3,12100,807.28,1010.46,low,25-40
POL-001684,26,12,26600,793.79,2067.65,high,25-40
POL-001685,36,3,13100,786.55,1036.66,low,25-40
POL-001686,36,8,15700,842.42,1186.5,medium,25-40
POL-001687,44,14,11500,914.94,1107.97,low,>40
POL-001688,54,3,14500,793.34,978.65,low,>40
POL-001689,25,4,14900,1105.08,2036.06,medium,25-40
POL-001690,41,12,6500,1096.79,846.8,low,>40
POL-001691,50,7,11100,1167.02,1149.59,low,>40
POL-001692,73,1,7800,860.07,1073.13,low,>40
POL-001693,64,7,11200,942.63,964.44,low,>40
POL-001694,23,10,9400,795.49,1366.06,medium,<25
POL-001695,49,13,21300,819.85,1482.05,medium,>40
POL-001696,46,8,21400,949.59,1557.84,medium,>40
POL-001697,42,9,17400,946.77,1386.33,medium,>40
